DateTime,KWH/D
2012-03-06,4.816
2012-03-07,6.718
2012-03-08,6.446
2012-03-09,5.48
2012-03-10,6.112
2012-03-11,5.653
2012-03-12,5.068
2012-03-13,5.711
2012-03-14,6.309
2012-03-15,5.563
2012-03-16,5.739
2012-03-17,5.947
2012-03-18,5.242
2012-03-19,6.066
2012-03-20,6.391
2012-03-21,5.931
2012-03-22,5.884
2012-03-23,5.958
2012-03-24,6.055
2012-03-25,5.258
2012-03-26,5.053
2012-03-27,5.132
2012-03-28,4.9590000000000005
2012-03-29,4.781
2012-03-30,4.735
2012-03-31,6.011
2012-04-01,6.01
2012-04-02,5.4
2012-04-03,5.788
2012-04-04,5.729
2012-04-05,5.848
2012-04-06,4.486
2012-04-07,5.211
2012-04-08,6.027
2012-04-09,6.015
2012-04-10,4.919
2012-04-11,6.059
2012-04-12,5.425
2012-04-13,5.396
2012-04-14,5.707
2012-04-15,5.978
2012-04-16,5.213
2012-04-17,6.13
2012-04-18,5.451
2012-04-19,5.271
2012-04-20,5.057
2012-04-21,4.709
2012-04-22,5.93
2012-04-23,5.546
2012-04-24,5.538
2012-04-25,5.443
2012-04-26,7.3
2012-04-27,5.4879999999999995
2012-04-28,6.0280000000000005
2012-04-29,5.599
2012-04-30,7.273
2012-05-01,7.37
2012-05-02,2.665
2012-05-03,1.848
2012-05-04,1.789
2012-05-05,1.764
2012-05-06,1.741
2012-05-07,1.778
2012-05-08,1.836
2012-05-09,1.845
2012-05-10,1.883
2012-05-11,1.956
2012-05-12,1.8619999999999999
2012-05-13,2.1310000000000002
2012-05-14,1.834
2012-05-15,1.792
2012-05-16,2.874
2012-05-17,7.517
2012-05-18,5.461
2012-05-19,5.499
2012-05-20,5.562
2012-05-21,5.2
2012-05-22,5.617
2012-05-23,4.459
2012-05-24,5.807
2012-05-25,4.32
2012-05-26,5.471
2012-05-27,5.406
2012-05-28,5.668
2012-05-29,5.895
2012-05-30,5.087
2012-05-31,5.094
2012-06-01,5.431
2012-06-02,4.546
2012-06-03,4.303
2012-06-04,6.222
2012-06-05,5.516
2012-06-06,5.241
2012-06-07,4.563
2012-06-08,5.516
2012-06-09,5.541
2012-06-10,5.029
2012-06-11,5.37
2012-06-12,4.451
2012-06-13,6.286
2012-06-14,4.503
2012-06-15,5.706
2012-06-16,5.178
2012-06-17,5.277
2012-06-18,5.762
2012-06-19,6.002
2012-06-20,4.935
2012-06-21,6.5169999999999995
2012-06-22,5.181
2012-06-23,6.326
2012-06-24,2.874
2012-06-25,2.299
2012-06-26,2.199
2012-06-27,2.305
2012-06-28,3.272
2012-06-29,4.693
2012-06-30,5.848
2012-07-01,5.537
2012-07-02,5.322
2012-07-03,5.303
2012-07-04,5.361
2012-07-05,5.38
2012-07-06,5.2940000000000005
2012-07-07,5.367
2012-07-08,5.063
2012-07-09,5.422
2012-07-10,5.479
2012-07-11,6.067
2012-07-12,5.094
2012-07-13,4.619
2012-07-14,5.241
2012-07-15,4.9319999999999995
2012-07-16,5.426
2012-07-17,5.753
2012-07-18,5.28
2012-07-19,5.382
2012-07-20,5.252
2012-07-21,4.924
2012-07-22,5.358
2012-07-23,4.858
2012-07-24,4.925
2012-07-25,5.56
2012-07-26,5.639
2012-07-27,5.344
2012-07-28,5.258
2012-07-29,5.506
2012-07-30,5.855
2012-07-31,5.166
2012-08-01,6.092
2012-08-02,4.995
2012-08-03,6.714
2012-08-04,2.89
2012-08-05,2.326
2012-08-06,2.3369999999999997
2012-08-07,2.262
2012-08-08,2.266
2012-08-09,2.308
2012-08-10,2.374
2012-08-11,4.831
2012-08-12,6.67
2012-08-13,5.05
2012-08-14,5.86
2012-08-15,5.599
2012-08-16,4.773
2012-08-17,5.944
2012-08-18,6.096
2012-08-19,5.58
2012-08-20,5.868
2012-08-21,5.551
2012-08-22,6.007
2012-08-23,5.928
2012-08-24,5.0569999999999995
2012-08-25,4.857
2012-08-26,5.324
2012-08-27,6.039
2012-08-28,5.861
2012-08-29,5.523
2012-08-30,5.678
2012-08-31,5.307
2012-09-01,6.0200000000000005
2012-09-02,3.069
2012-09-03,2.522
2012-09-04,2.504
2012-09-05,2.457
2012-09-06,2.519
2012-09-07,2.623
2012-09-08,4.929
2012-09-09,6.059
2012-09-10,6.162
2012-09-11,6.126
2012-09-12,6.191
2012-09-13,5.326
2012-09-14,5.585
2012-09-15,5.381
2012-09-16,6.065
2012-09-17,5.249
2012-09-18,5.003
2012-09-19,5.197
2012-09-20,5.352
2012-09-21,5.11
2012-09-22,5.21
2012-09-23,5.197
2012-09-24,5.399
2012-09-25,5.012
2012-09-26,5.596
2012-09-27,5.593
2012-09-28,5.797
2012-09-29,6.308
2012-09-30,5.898
2012-10-01,6.013
2012-10-02,6.14
2012-10-03,6.602
2012-10-04,6.234
2012-10-05,5.654
2012-10-06,6.281
2012-10-07,6.509
2012-10-08,7.167
2012-10-09,5.99
2012-10-10,6.772
2012-10-11,6.228
2012-10-12,6.543
2012-10-13,5.745
2012-10-14,5.907
2012-10-15,6.634
2012-10-16,6.47
2012-10-17,6.159
2012-10-18,6.8420000000000005
2012-10-19,6.73
2012-10-20,6.038
2012-10-21,5.997
2012-10-22,6.356
2012-10-23,6.023
2012-10-24,6.726
2012-10-25,6.34
2012-10-26,6.345
2012-10-27,6.292
2012-10-28,4.825
2012-10-29,7.208
2012-10-30,6.76
2012-10-31,7.687
2012-11-01,6.386
2012-11-02,5.44
2012-11-03,5.922
2012-11-04,6.657
2012-11-05,5.742
2012-11-06,7.011
2012-11-07,6.087
2012-11-08,6.993
2012-11-09,7.9030000000000005
2012-11-10,5.791
2012-11-11,8.374
2012-11-12,3.4
2012-11-13,2.963
2012-11-14,2.998
2012-11-15,3.067
2012-11-16,5.299
2012-11-17,6.995
2012-11-18,5.742
2012-11-19,6.513
2012-11-20,6.182
2012-11-21,7.231
2012-11-22,6.737
2012-11-23,6.069
2012-11-24,6.979
2012-11-25,6.49
2012-11-26,6.789
2012-11-27,6.83
2012-11-28,7.519
2012-11-29,7.074
2012-11-30,6.687
2012-12-01,6.9799999999999995
2012-12-02,7.098
2012-12-03,5.874
2012-12-04,6.731
2012-12-05,6.62
2012-12-06,6.32
2012-12-07,7.183
2012-12-08,6.559
2012-12-09,6.195
2012-12-10,6.584
2012-12-11,6.491
2012-12-12,6.09
2012-12-13,6.488
2012-12-14,6.666
2012-12-15,7.05
2012-12-16,6.923
2012-12-17,7.671
2012-12-18,6.918
2012-12-19,9.304
2012-12-20,6.282
2012-12-21,10.121
2012-12-22,7.7540000000000004
2012-12-23,3.782
2012-12-24,3.037
2012-12-25,3.029
2012-12-26,2.97
2012-12-27,5.163
2012-12-28,7.852
2012-12-29,6.647
2012-12-30,5.907
2012-12-31,7.565
2013-01-01,6.679
2013-01-02,6.327
2013-01-03,6.483
2013-01-04,6.028
2013-01-05,7.478
2013-01-06,7.559
2013-01-07,7.196
2013-01-08,6.489
2013-01-09,6.42
2013-01-10,6.094
2013-01-11,6.811
2013-01-12,7.055
2013-01-13,5.681
2013-01-14,6.459
2013-01-15,5.741
2013-01-16,7.144
2013-01-17,6.783
2013-01-18,7.719
2013-01-19,7.028
2013-01-20,6.551
2013-01-21,7.088
2013-01-22,6.572
2013-01-23,6.9
2013-01-24,7.153
2013-01-25,6.846
2013-01-26,6.455
2013-01-27,6.759
2013-01-28,6.094
2013-01-29,6.866
2013-01-30,6.314
2013-01-31,6.254
2013-02-01,6.271
2013-02-02,6.638
2013-02-03,6.264
2013-02-04,6.276
2013-02-05,6.4190000000000005
2013-02-06,7.378
2013-02-07,6.414
2013-02-08,6.542
2013-02-09,6.856
2013-02-10,5.976
2013-02-11,6.111
2013-02-12,5.8020000000000005
2013-02-13,5.832
2013-02-14,6.069
2013-02-15,6.282
2013-02-16,6.353
2013-02-17,4.675
2013-02-18,6.094
2013-02-19,5.846
2013-02-20,6.168
2013-02-21,6.67
2013-02-22,6.456
2013-02-23,6.01
2013-02-24,7.331
2013-02-25,6.624
2013-02-26,5.75
2013-02-27,6.646
2013-02-28,5.378
2013-03-01,5.672
2013-03-02,7.318
2013-03-03,5.419
2013-03-04,6.072
2013-03-05,5.92
2013-03-06,6.661
2013-03-07,5.618
2013-03-08,6.536
2013-03-09,7.573
2013-03-10,6.179
2013-03-11,7.006
2013-03-12,6.054
2013-03-13,6.328
2013-03-14,5.914
2013-03-15,5.952
2013-03-16,6.816
2013-03-17,5.953
2013-03-18,6.628
2013-03-19,6.483
2013-03-20,5.896
2013-03-21,6.214
2013-03-22,5.9639999999999995
2013-03-23,5.589
2013-03-24,6.94
2013-03-25,6.228
2013-03-26,5.877
2013-03-27,5.805
2013-03-28,5.766
2013-03-29,5.99
2013-03-30,5.972
2013-03-31,7.079
2013-04-01,6.7010000000000005
2013-04-02,5.832
2013-04-03,7.32
2013-04-04,6.54
2013-04-05,5.919
2013-04-06,6.401
2013-04-07,5.836
2013-04-08,5.949
2013-04-09,6.327
2013-04-10,6.009
2013-04-11,5.207
2013-04-12,6.54
2013-04-13,5.276
2013-04-14,5.054
2013-04-15,6.292
2013-04-16,5.734
2013-04-17,5.892
2013-04-18,5.602
2013-04-19,5.114
2013-04-20,5.087
2013-04-21,6.88
2013-04-22,5.734
2013-04-23,5.668
2013-04-24,5.659
2013-04-25,5.6129999999999995
2013-04-26,4.979
2013-04-27,5.417
2013-04-28,5.846
2013-04-29,5.107
2013-04-30,4.874
2013-05-01,5.859
2013-05-02,4.846
2013-05-03,5.666
2013-05-04,5.042
2013-05-05,4.418
2013-05-06,6.138
2013-05-07,4.769
2013-05-08,5.039
2013-05-09,5.109
2013-05-10,4.539
2013-05-11,5.404
2013-05-12,4.508
2013-05-13,5.441
2013-05-14,5.454
2013-05-15,5.696
2013-05-16,5.252
2013-05-17,4.507
2013-05-18,5.5729999999999995
2013-05-19,4.892
2013-05-20,4.601
2013-05-21,4.704
2013-05-22,3.584
2013-05-23,6.042
2013-05-24,5.078
2013-05-25,5.444
2013-05-26,4.619
2013-05-27,5.952
2013-05-28,4.867
2013-05-29,4.859
2013-05-30,4.794
2013-05-31,5.544
2013-06-01,7.172
2013-06-02,2.802
2013-06-03,2.004
2013-06-04,2.019
2013-06-05,2.089
2013-06-06,2.02
2013-06-07,3.785
2013-06-08,4.647
2013-06-09,4.931
2013-06-10,5.536
2013-06-11,5.409
2013-06-12,4.336
2013-06-13,4.103
2013-06-14,5.221
2013-06-15,5.486
2013-06-16,5.695
2013-06-17,5.426
2013-06-18,5.304
2013-06-19,5.848
2013-06-20,6.411
2013-06-21,4.352
2013-06-22,4.676
2013-06-23,4.868
2013-06-24,4.995
2013-06-25,4.976
2013-06-26,5.581
2013-06-27,4.951
2013-06-28,5.216
2013-06-29,5.448
2013-06-30,4.502
2013-07-01,4.795
2013-07-02,5.325
2013-07-03,4.872
2013-07-04,5.622
2013-07-05,5.587
2013-07-06,5.767
2013-07-07,5.523
2013-07-08,5.361
2013-07-09,5.249
2013-07-10,3.9170000000000003
2013-07-11,4.901
2013-07-12,5.325
2013-07-13,4.871
2013-07-14,4.969
2013-07-15,5.515
2013-07-16,5.697
2013-07-17,5.899
2013-07-18,5.57
2013-07-19,4.81
2013-07-20,5.186
2013-07-21,4.633
2013-07-22,5.275
2013-07-23,5.555
2013-07-24,5.182
2013-07-25,5.5120000000000005
2013-07-26,5.058
2013-07-27,5.282
2013-07-28,4.8950000000000005
2013-07-29,5.425
2013-07-30,5.272
2013-07-31,5.255
2013-08-01,4.631
2013-08-02,5.862
2013-08-03,4.394
2013-08-04,7.122
2013-08-05,5.423
2013-08-06,4.9639999999999995
2013-08-07,5.224
2013-08-08,4.125
2013-08-09,4.379
2013-08-10,4.8950000000000005
2013-08-11,4.719
2013-08-12,5.543
2013-08-13,5.185
2013-08-14,4.737
2013-08-15,4.697
2013-08-16,5.405
2013-08-17,4.479
2013-08-18,4.761
2013-08-19,4.956
2013-08-20,4.61
2013-08-21,4.7410000000000005
2013-08-22,5.366
2013-08-23,4.372
2013-08-24,4.297
2013-08-25,5.5120000000000005
2013-08-26,5.4190000000000005
2013-08-27,5.088
2013-08-28,5.786
2013-08-29,5.509
2013-08-30,5.595
2013-08-31,5.224
2013-09-01,4.8149999999999995
2013-09-02,4.617
2013-09-03,5.963
2013-09-04,6.591
2013-09-05,5.335
2013-09-06,4.481
2013-09-07,5.965
2013-09-08,2.54
2013-09-09,1.942
2013-09-10,1.903
2013-09-11,2.003
2013-09-12,1.956
2013-09-13,1.945
2013-09-14,3.5909999999999997
2013-09-15,6.5040000000000004
2013-09-16,4.986
2013-09-17,5.709
2013-09-18,5.24
2013-09-19,4.928
2013-09-20,4.508
2013-09-21,4.575
2013-09-22,4.48
2013-09-23,4.816
2013-09-24,5.301
2013-09-25,5.495
2013-09-26,4.367
2013-09-27,5.704
2013-09-28,5.218
2013-09-29,5.278
2013-09-30,4.981
2013-10-01,4.769
2013-10-02,4.782
2013-10-03,4.281
2013-10-04,5.405
2013-10-05,5.401
2013-10-06,5.368
2013-10-07,5.025
2013-10-08,5.136
2013-10-09,4.922
2013-10-10,4.714
2013-10-11,6.069
2013-10-12,5.386
2013-10-13,5.74
2013-10-14,6.167
2013-10-15,6.182
2013-10-16,5.822
2013-10-17,5.534
2013-10-18,4.665
2013-10-19,6.156
2013-10-20,5.678
2013-10-21,6.063
2013-10-22,5.737
2013-10-23,5.327
2013-10-24,6.248
2013-10-25,5.945
2013-10-26,5.49
2013-10-27,5.784
2013-10-28,5.873
2013-10-29,5.9719999999999995
2013-10-30,5.806
2013-10-31,6.34
2013-11-01,5.957
2013-11-02,5.673
2013-11-03,6.073
2013-11-04,6.632
2013-11-05,6.393
2013-11-06,5.795
2013-11-07,7.453
2013-11-08,6.097
2013-11-09,6.24
2013-11-10,6.993
2013-11-11,4.2
2013-11-12,3.04
2013-11-13,2.899
2013-11-14,2.882
2013-11-15,7.364
2013-11-16,5.904
2013-11-17,6.6129999999999995
2013-11-18,6.847
2013-11-19,6.587
2013-11-20,3.571
2013-11-21,4.5
2013-11-22,5.748
2013-11-23,5.958
2013-11-24,6.316
2013-11-25,3.622
2013-11-26,2.924
2013-11-27,3.041
2013-11-28,3.024
2013-11-29,5.691
2013-11-30,5.873
2013-12-01,6.265
2013-12-02,6.295
2013-12-03,5.516
2013-12-04,5.914
2013-12-05,6.684
2013-12-06,5.652
2013-12-07,6.096
2013-12-08,4.583
2013-12-09,6.481
2013-12-10,5.414
2013-12-11,6.202
2013-12-12,6.65
2013-12-13,5.977
2013-12-14,6.415
2013-12-15,6.278
2013-12-16,6.56
2013-12-17,5.452
2013-12-18,6.92
2013-12-19,5.526
2013-12-20,6.639
2013-12-21,7.395
2013-12-22,6.793
2013-12-23,3.662
2013-12-24,2.97
2013-12-25,2.946
2013-12-26,2.887
2013-12-27,4.378
2013-12-28,7.004
2013-12-29,6.46
2013-12-30,6.895
2013-12-31,5.198
2014-01-01,7.49
2014-01-02,7.633
2014-01-03,6.428
2014-01-04,6.2700000000000005
2014-01-05,6.758
2014-01-06,7.326
2014-01-07,6.261
2014-01-08,7.294
2014-01-09,6.94
2014-01-10,7.866
2014-01-11,8.373
2014-01-12,6.624
2014-01-13,6.558
2014-01-14,7.015
2014-01-15,6.544
2014-01-16,6.48
2014-01-17,6.517
2014-01-18,6.879
2014-01-19,5.537
2014-01-20,6.449
2014-01-21,6.352
2014-01-22,6.315
2014-01-23,5.879
2014-01-24,6.016
2014-01-25,6.461
2014-01-26,6.534
2014-01-27,5.817
2014-01-28,6.842
2014-01-29,7.03
2014-01-30,5.761
2014-01-31,6.319
2014-02-01,6.035
2014-02-02,5.888
2014-02-03,6.522
2014-02-04,6.457
2014-02-05,6.326
2014-02-06,6.452
2014-02-07,6.164
2014-02-08,5.931
2014-02-09,6.915
2014-02-10,6.957
2014-02-11,6.258
2014-02-12,6.949
2014-02-13,5.594
2014-02-14,7.417
2014-02-15,6.11
2014-02-16,5.589
2014-02-17,5.854
2014-02-18,6.852
2014-02-19,6.416
2014-02-20,6.155
2014-02-21,5.566
2014-02-22,5.323
2014-02-23,5.92
2014-02-24,6.561
2014-02-25,6.264
2014-02-26,6.418
2014-02-27,6.438
2014-02-28,0.064
